Time,Date,Time,Temp,Ch1,Ch2,Ch3,Ch4
134,26-06-2024,8:25:45,17.289,9.471,9.422,9.077,9.501
135,26-06-2024,8:25:49,17.288,9.471,9.425,9.08,9.505
136,26-06-2024,8:25:53,17.293,9.469,9.434,9.078,9.498
137,26-06-2024,8:25:57,17.291,9.469,9.424,9.079,9.499
138,26-06-2024,8:26:01,17.289,9.465,9.422,9.081,9.501
139,26-06-2024,8:26:05,17.29,9.473,9.426,9.078,9.503
140,26-06-2024,8:26:09,17.291,9.47,9.424,9.07,9.501
141,26-06-2024,8:26:13,17.294,9.465,9.426,9.075,9.506
142,26-06-2024,8:26:17,17.293,9.464,9.431,9.073,9.499
143,26-06-2024,8:26:21,17.291,9.463,9.415,9.079,9.494
144,26-06-2024,8:26:25,17.295,9.462,9.421,9.076,9.51
145,26-06-2024,8:26:29,17.293,9.461,9.419,9.082,9.502
146,26-06-2024,8:26:33,17.291,9.464,9.43,9.072,9.512
147,26-06-2024,8:26:37,17.294,9.46,9.422,9.076,9.502
148,26-06-2024,8:26:41,17.29,9.464,9.423,9.074,9.51
149,26-06-2024,8:26:45,17.292,9.467,9.423,9.071,9.505
150,26-06-2024,8:26:49,17.295,9.455,9.423,9.072,9.503
151,26-06-2024,8:26:53,17.294,9.462,9.423,9.08,9.507
152,26-06-2024,8:26:57,17.295,9.463,9.417,9.073,9.503
153,26-06-2024,8:27:01,17.293,9.462,9.429,9.077,9.507
154,26-06-2024,8:27:05,17.294,9.464,9.42,9.068,9.505
155,26-06-2024,8:27:09,17.297,9.454,9.421,9.074,9.501
156,26-06-2024,8:27:13,17.297,9.463,9.422,9.074,9.511
157,26-06-2024,8:27:17,17.294,9.465,9.427,9.068,9.501
158,26-06-2024,8:27:21,17.295,9.461,9.429,9.074,9.51
159,26-06-2024,8:27:25,17.297,9.461,9.42,9.071,9.498
160,26-06-2024,8:27:29,17.297,9.465,9.418,9.075,9.505
161,26-06-2024,8:27:33,17.296,9.461,9.424,9.071,9.507
162,26-06-2024,8:27:37,17.298,9.462,9.423,9.075,9.505
163,26-06-2024,8:27:41,17.296,9.46,9.425,9.071,9.505
164,26-06-2024,8:27:45,17.303,9.459,9.419,9.064,9.503
165,26-06-2024,8:27:49,17.299,9.461,9.426,9.063,9.502
166,26-06-2024,8:27:53,17.302,9.46,9.426,9.051,9.504
167,26-06-2024,8:27:57,17.299,9.465,9.433,9.054,9.504
168,26-06-2024,8:28:01,17.299,9.466,9.426,9.06,9.505
169,26-06-2024,8:28:05,17.298,9.456,9.423,9.048,9.51
170,26-06-2024,8:28:09,17.295,9.457,9.427,9.055,9.505
171,26-06-2024,8:28:13,17.299,9.465,9.425,9.05,9.508
172,26-06-2024,8:28:17,17.299,9.46,9.426,9.043,9.509
173,26-06-2024,8:28:21,17.298,9.458,9.429,9.045,9.505
174,26-06-2024,8:28:25,17.3,9.456,9.426,9.039,9.507
175,26-06-2024,8:28:29,17.298,9.458,9.431,9.035,9.509
176,26-06-2024,8:28:33,17.301,9.457,9.42,9.031,9.506
177,26-06-2024,8:28:37,17.304,9.455,9.426,9.02,9.5
178,26-06-2024,8:28:41,17.302,9.454,9.43,9.024,9.502
179,26-06-2024,8:28:45,17.299,9.465,9.431,9.015,9.502
180,26-06-2024,8:28:49,17.301,9.467,9.423,9.02,9.499
181,26-06-2024,8:28:53,17.307,9.453,9.42,9.004,9.5
182,26-06-2024,8:28:57,17.303,9.464,9.422,9.003,9.503
183,26-06-2024,8:29:01,17.301,9.46,9.427,8.996,9.514
184,26-06-2024,8:29:05,17.303,9.457,9.429,8.993,9.506
185,26-06-2024,8:29:09,17.304,9.462,9.425,8.992,9.508
186,26-06-2024,8:29:13,17.302,9.459,9.427,8.984,9.503
187,26-06-2024,8:29:17,17.302,9.462,9.422,8.982,9.504
188,26-06-2024,8:29:21,17.304,9.46,9.423,8.983,9.509
189,26-06-2024,8:29:25,17.302,9.465,9.423,8.972,9.505
190,26-06-2024,8:29:29,17.304,9.453,9.428,8.962,9.502
191,26-06-2024,8:29:33,17.308,9.46,9.419,8.965,9.506
192,26-06-2024,8:29:37,17.3,9.459,9.429,8.957,9.504
193,26-06-2024,8:29:41,17.303,9.456,9.429,8.948,9.503
194,26-06-2024,8:29:45,17.305,9.46,9.426,8.95,9.505
195,26-06-2024,8:29:49,17.303,9.458,9.429,8.946,9.509
196,26-06-2024,8:29:53,17.304,9.464,9.422,8.944,9.508
197,26-06-2024,8:29:57,17.305,9.459,9.436,8.931,9.506
198,26-06-2024,8:30:01,17.305,9.459,9.422,8.939,9.504
199,26-06-2024,8:30:05,17.306,9.456,9.431,8.921,9.503
200,26-06-2024,8:30:09,17.308,9.452,9.425,8.921,9.503
201,26-06-2024,8:30:13,17.306,9.458,9.429,8.919,9.506
202,26-06-2024,8:30:17,17.308,9.455,9.429,8.921,9.503
203,26-06-2024,8:30:21,17.305,9.455,9.431,8.918,9.504
204,26-06-2024,8:30:25,17.305,9.455,9.424,8.913,9.5
205,26-06-2024,8:30:29,17.306,9.454,9.435,8.918,9.499
206,26-06-2024,8:30:33,17.31,9.454,9.431,8.898,9.51
207,26-06-2024,8:30:37,17.309,9.458,9.43,8.897,9.507
208,26-06-2024,8:30:41,17.306,9.454,9.433,8.893,9.504
209,26-06-2024,8:30:45,17.308,9.457,9.431,8.897,9.508
210,26-06-2024,8:30:49,17.308,9.45,9.429,8.9,9.502
211,26-06-2024,8:30:53,17.312,9.453,9.433,8.892,9.504
212,26-06-2024,8:30:57,17.309,9.452,9.436,8.888,9.507
213,26-06-2024,8:31:01,17.307,9.456,9.436,8.891,9.5
214,26-06-2024,8:31:05,17.309,9.455,9.433,8.884,9.506
215,26-06-2024,8:31:09,17.306,9.456,9.438,8.882,9.502
216,26-06-2024,8:31:13,17.307,9.454,9.428,8.882,9.499
217,26-06-2024,8:31:17,17.31,9.461,9.438,8.875,9.509
218,26-06-2024,8:31:21,17.307,9.458,9.427,8.88,9.511
219,26-06-2024,8:31:25,17.313,9.456,9.431,8.878,9.502
220,26-06-2024,8:31:29,17.311,9.46,9.428,8.873,9.503
221,26-06-2024,8:31:33,17.313,9.455,9.429,8.866,9.504
222,26-06-2024,8:31:37,17.311,9.46,9.426,8.87,9.504
223,26-06-2024,8:31:41,17.315,9.453,9.426,8.87,9.502
224,26-06-2024,8:31:45,17.311,9.458,9.43,8.872,9.507
225,26-06-2024,8:31:49,17.312,9.457,9.428,8.869,9.503
226,26-06-2024,8:31:53,17.312,9.46,9.425,8.867,9.502
227,26-06-2024,8:31:57,17.316,9.461,9.427,8.866,9.499
228,26-06-2024,8:32:01,17.312,9.461,9.425,8.86,9.508
229,26-06-2024,8:32:05,17.309,9.458,9.426,8.857,9.506
230,26-06-2024,8:32:09,17.314,9.465,9.424,8.855,9.497
231,26-06-2024,8:32:13,17.314,9.46,9.427,8.853,9.498
232,26-06-2024,8:32:17,17.314,9.456,9.422,8.845,9.496
233,26-06-2024,8:32:21,17.316,9.459,9.42,8.848,9.504
234,26-06-2024,8:32:25,17.315,9.449,9.426,8.849,9.501
235,26-06-2024,8:32:29,17.316,9.456,9.424,8.85,9.495
236,26-06-2024,8:32:33,17.313,9.458,9.419,8.842,9.503
237,26-06-2024,8:32:37,17.315,9.457,9.424,8.848,9.503
238,26-06-2024,8:32:41,17.315,9.458,9.417,8.843,9.504
239,26-06-2024,8:32:45,17.317,9.451,9.411,8.843,9.506
240,26-06-2024,8:32:49,17.317,9.459,9.418,8.837,9.502
241,26-06-2024,8:32:53,17.314,9.456,9.421,8.843,9.498
242,26-06-2024,8:32:57,17.315,9.46,9.416,8.843,9.504
243,26-06-2024,8:33:01,17.314,9.457,9.415,8.835,9.504
244,26-06-2024,8:33:05,17.313,9.452,9.411,8.844,9.503
245,26-06-2024,8:33:08,17.317,9.45,9.411,8.839,9.507
246,26-06-2024,8:33:13,17.315,9.451,9.406,8.833,9.494
247,26-06-2024,8:33:16,17.314,9.456,9.411,8.838,9.5
248,26-06-2024,8:33:20,17.315,9.456,9.407,8.84,9.496
249,26-06-2024,8:33:24,17.318,9.453,9.413,8.842,9.501
250,26-06-2024,8:33:28,17.321,9.45,9.409,8.838,9.501
251,26-06-2024,8:33:32,17.318,9.448,9.413,8.839,9.501
252,26-06-2024,8:33:36,17.315,9.456,9.41,8.84,9.507
253,26-06-2024,8:33:40,17.319,9.455,9.404,8.839,9.499
254,26-06-2024,8:33:44,17.317,9.447,9.404,8.833,9.5
255,26-06-2024,8:33:48,17.316,9.457,9.41,8.838,9.5
256,26-06-2024,8:33:53,17.319,9.45,9.405,8.838,9.501
257,26-06-2024,8:33:57,17.316,9.454,9.416,8.837,9.503
258,26-06-2024,8:34:01,17.321,9.446,9.407,8.835,9.503
259,26-06-2024,8:34:05,17.318,9.45,9.408,8.837,9.499
260,26-06-2024,8:34:09,17.317,9.454,9.403,8.842,9.498
261,26-06-2024,8:34:13,17.318,9.454,9.405,8.839,9.504
262,26-06-2024,8:34:17,17.317,9.452,9.409,8.844,9.495
263,26-06-2024,8:34:21,17.32,9.449,9.408,8.837,9.497
264,26-06-2024,8:34:25,17.322,9.455,9.401,8.842,9.503
265,26-06-2024,8:34:29,17.319,9.456,9.405,8.842,9.495
266,26-06-2024,8:34:33,17.317,9.455,9.408,8.843,9.503
267,26-06-2024,8:34:37,17.321,9.456,9.404,8.847,9.499
268,26-06-2024,8:34:41,17.32,9.452,9.41,8.842,9.495
269,26-06-2024,8:34:45,17.32,9.455,9.404,8.838,9.498
270,26-06-2024,8:34:49,17.32,9.449,9.405,8.842,9.498
271,26-06-2024,8:34:53,17.325,9.449,9.397,8.846,9.494
272,26-06-2024,8:34:57,17.319,9.456,9.401,8.851,9.498
273,26-06-2024,8:35:01,17.322,9.449,9.402,8.852,9.495
274,26-06-2024,8:35:05,17.318,9.453,9.405,8.845,9.492
275,26-06-2024,8:35:09,17.322,9.451,9.402,8.862,9.499
276,26-06-2024,8:35:13,17.321,9.45,9.398,8.863,9.501
277,26-06-2024,8:35:17,17.324,9.456,9.404,8.852,9.504
278,26-06-2024,8:35:21,17.323,9.452,9.398,8.861,9.497
279,26-06-2024,8:35:25,17.328,9.451,9.395,8.86,9.495
280,26-06-2024,8:35:29,17.325,9.452,9.395,8.867,9.502
281,26-06-2024,8:35:33,17.326,9.454,9.397,8.873,9.496
282,26-06-2024,8:35:37,17.327,9.452,9.4,8.866,9.503
283,26-06-2024,8:35:41,17.324,9.452,9.4,8.874,9.499
284,26-06-2024,8:35:45,17.32,9.447,9.397,8.876,9.502
285,26-06-2024,8:35:49,17.323,9.448,9.401,8.878,9.494
286,26-06-2024,8:35:53,17.325,9.451,9.403,8.881,9.496
287,26-06-2024,8:35:57,17.325,9.448,9.397,8.882,9.495
288,26-06-2024,8:36:01,17.327,9.444,9.408,8.884,9.5
289,26-06-2024,8:36:05,17.327,9.453,9.408,8.89,9.493
290,26-06-2024,8:36:09,17.324,9.447,9.399,8.898,9.497
291,26-06-2024,8:36:13,17.327,9.453,9.403,8.895,9.5
292,26-06-2024,8:36:17,17.327,9.447,9.399,8.905,9.496
293,26-06-2024,8:36:21,17.332,9.449,9.402,8.901,9.502
294,26-06-2024,8:36:25,17.325,9.454,9.399,8.91,9.494
295,26-06-2024,8:36:29,17.326,9.449,9.4,8.916,9.493
296,26-06-2024,8:36:33,17.329,9.444,9.401,8.916,9.494
297,26-06-2024,8:36:37,17.327,9.453,9.408,8.915,9.496
298,26-06-2024,8:36:41,17.329,9.453,9.402,8.92,9.5
299,26-06-2024,8:36:45,17.33,9.454,9.402,8.929,9.49
300,26-06-2024,8:36:49,17.328,9.452,9.4,8.929,9.496
301,26-06-2024,8:36:53,17.329,9.457,9.408,8.931,9.496
302,26-06-2024,8:36:57,17.331,9.451,9.406,8.929,9.492
303,26-06-2024,8:37:01,17.326,9.45,9.404,8.937,9.492
304,26-06-2024,8:37:05,17.327,9.448,9.4,8.945,9.493
305,26-06-2024,8:37:09,17.33,9.462,9.412,8.943,9.499
306,26-06-2024,8:37:13,17.331,9.45,9.405,8.948,9.494
307,26-06-2024,8:37:17,17.331,9.446,9.407,8.952,9.499
308,26-06-2024,8:37:21,17.33,9.448,9.406,8.954,9.499
309,26-06-2024,8:37:25,17.324,9.452,9.403,8.964,9.497
310,26-06-2024,8:37:29,17.328,9.454,9.405,8.969,9.498
311,26-06-2024,8:37:33,17.33,9.448,9.416,8.972,9.496
312,26-06-2024,8:37:37,17.33,9.453,9.413,8.969,9.488
313,26-06-2024,8:37:41,17.328,9.456,9.406,8.977,9.494
314,26-06-2024,8:37:45,17.328,9.446,9.409,8.983,9.496
315,26-06-2024,8:37:49,17.331,9.453,9.405,8.986,9.499
316,26-06-2024,8:37:53,17.332,9.449,9.408,8.976,9.491
317,26-06-2024,8:37:56,17.331,9.452,9.411,8.989,9.494
318,26-06-2024,8:38:00,17.332,9.454,9.408,8.991,9.493
319,26-06-2024,8:38:04,17.333,9.451,9.412,8.991,9.498
320,26-06-2024,8:38:08,17.329,9.45,9.411,8.997,9.492
321,26-06-2024,8:38:12,17.333,9.448,9.407,8.999,9.495
322,26-06-2024,8:38:16,17.332,9.455,9.411,8.999,9.495
323,26-06-2024,8:38:20,17.331,9.451,9.407,9.01,9.5
324,26-06-2024,8:38:24,17.33,9.452,9.416,9.011,9.491
325,26-06-2024,8:38:28,17.329,9.454,9.409,9.013,9.494
326,26-06-2024,8:38:32,17.331,9.456,9.423,9.017,9.502
327,26-06-2024,8:38:36,17.332,9.45,9.414,9.016,9.493
328,26-06-2024,8:38:40,17.333,9.454,9.408,9.016,9.495
329,26-06-2024,8:38:44,17.332,9.454,9.418,9.017,9.489
330,26-06-2024,8:38:48,17.333,9.455,9.414,9.019,9.495
331,26-06-2024,8:38:52,17.336,9.452,9.416,9.022,9.491
332,26-06-2024,8:38:56,17.336,9.452,9.417,9.025,9.487
333,26-06-2024,8:39:00,17.337,9.445,9.413,9.032,9.495
334,26-06-2024,8:39:04,17.334,9.449,9.416,9.029,9.5
335,26-06-2024,8:39:08,17.334,9.453,9.413,9.032,9.492
336,26-06-2024,8:39:12,17.338,9.448,9.413,9.03,9.49
337,26-06-2024,8:39:16,17.334,9.446,9.414,9.039,9.49
338,26-06-2024,8:39:20,17.336,9.456,9.413,9.04,9.499
339,26-06-2024,8:39:24,17.338,9.45,9.409,9.044,9.498
340,26-06-2024,8:39:28,17.334,9.456,9.417,9.049,9.494
341,26-06-2024,8:39:32,17.334,9.454,9.408,9.051,9.493
342,26-06-2024,8:39:36,17.337,9.448,9.414,9.055,9.497
343,26-06-2024,8:39:40,17.34,9.452,9.418,9.055,9.494
344,26-06-2024,8:39:44,17.338,9.452,9.42,9.06,9.489
345,26-06-2024,8:39:48,17.338,9.449,9.408,9.061,9.494
346,26-06-2024,8:39:52,17.337,9.453,9.416,9.06,9.49
347,26-06-2024,8:39:56,17.336,9.448,9.416,9.06,9.49
348,26-06-2024,8:40:00,17.338,9.459,9.416,9.067,9.493
349,26-06-2024,8:40:04,17.338,9.449,9.417,9.065,9.491
350,26-06-2024,8:40:08,17.336,9.457,9.417,9.074,9.494
351,26-06-2024,8:40:12,17.34,9.444,9.419,9.08,9.495
352,26-06-2024,8:40:16,17.34,9.444,9.415,9.074,9.488
353,26-06-2024,8:40:20,17.341,9.448,9.419,9.075,9.494
354,26-06-2024,8:40:24,17.341,9.449,9.421,9.083,9.495
355,26-06-2024,8:40:28,17.339,9.446,9.42,9.089,9.493
356,26-06-2024,8:40:32,17.34,9.445,9.418,9.086,9.495
357,26-06-2024,8:40:36,17.344,9.441,9.416,9.088,9.492
358,26-06-2024,8:40:40,17.342,9.446,9.42,9.092,9.494
359,26-06-2024,8:40:44,17.34,9.447,9.422,9.098,9.494
360,26-06-2024,8:40:48,17.341,9.44,9.421,9.094,9.488
361,26-06-2024,8:40:53,17.341,9.451,9.42,9.104,9.49
362,26-06-2024,8:40:56,17.34,9.446,9.414,9.108,9.49
363,26-06-2024,8:41:00,17.341,9.449,9.422,9.1,9.486
364,26-06-2024,8:41:04,17.341,9.443,9.427,9.105,9.488
365,26-06-2024,8:41:09,17.339,9.438,9.422,9.109,9.489
366,26-06-2024,8:41:13,17.346,9.446,9.417,9.106,9.493
367,26-06-2024,8:41:17,17.342,9.441,9.423,9.106,9.489
368,26-06-2024,8:41:21,17.343,9.44,9.424,9.109,9.486
369,26-06-2024,8:41:25,17.346,9.44,9.427,9.111,9.482
370,26-06-2024,8:41:29,17.345,9.442,9.424,9.112,9.485
371,26-06-2024,8:41:33,17.345,9.441,9.421,9.116,9.486
372,26-06-2024,8:41:37,17.343,9.437,9.424,9.113,9.493
373,26-06-2024,8:41:41,17.346,9.441,9.418,9.116,9.493
374,26-06-2024,8:41:45,17.346,9.438,9.429,9.12,9.487
375,26-06-2024,8:41:49,17.344,9.434,9.42,9.121,9.489
376,26-06-2024,8:41:53,17.344,9.434,9.406,9.127,9.495
377,26-06-2024,8:41:57,17.343,9.437,9.411,9.123,9.492
378,26-06-2024,8:42:01,17.344,9.434,9.409,9.133,9.489
379,26-06-2024,8:42:05,17.345,9.428,9.414,9.13,9.494
380,26-06-2024,8:42:09,17.345,9.439,9.417,9.135,9.495
381,26-06-2024,8:42:13,17.346,9.431,9.415,9.137,9.493
382,26-06-2024,8:42:17,17.344,9.433,9.416,9.132,9.491
383,26-06-2024,8:42:21,17.348,9.433,9.419,9.133,9.485
384,26-06-2024,8:42:25,17.348,9.423,9.415,9.136,9.487
385,26-06-2024,8:42:29,17.345,9.427,9.417,9.141,9.491
386,26-06-2024,8:42:33,17.344,9.432,9.413,9.135,9.486
387,26-06-2024,8:42:37,17.345,9.428,9.418,9.132,9.487
388,26-06-2024,8:42:41,17.344,9.418,9.421,9.131,9.485
389,26-06-2024,8:42:45,17.346,9.422,9.422,9.128,9.489
390,26-06-2024,8:42:49,17.344,9.421,9.417,9.133,9.491
391,26-06-2024,8:42:53,17.346,9.423,9.416,9.124,9.488
392,26-06-2024,8:42:57,17.344,9.426,9.414,9.12,9.481
393,26-06-2024,8:43:01,17.346,9.409,9.41,9.116,9.476
394,26-06-2024,8:43:05,17.347,9.413,9.408,9.113,9.482
395,26-06-2024,8:43:09,17.345,9.413,9.407,9.113,9.475
396,26-06-2024,8:43:13,17.348,9.409,9.415,9.109,9.479
397,26-06-2024,8:43:17,17.347,9.403,9.406,9.103,9.47
398,26-06-2024,8:43:21,17.347,9.397,9.411,9.094,9.478
